0.024135,-0.015215,-1.744961,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.027420,-0.023746,-1.764891,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.012148,-0.016779,-1.729379,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.014831,-0.011744,-1.729135,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.020775,-0.021645,-1.745617,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.000807,-0.006759,-1.714916,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.014831,-0.011744,-1.729135,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.012148,-0.016779,-1.729379,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
-0.000364,-0.009810,-1.714706,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.000807,-0.006759,-1.714916,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.012148,-0.016779,-1.729379,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
-0.011843,-0.000796,-1.706755,57.000000,35.000000,0.000000,0.000000,0.850000,0.150000,0.000000,0.000000
0.000807,-0.006759,-1.714916,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
-0.000364,-0.009810,-1.714706,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
-0.002472,-0.010279,-1.716857,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
-0.011843,-0.000796,-1.706755,57.000000,35.000000,0.000000,0.000000,0.850000,0.150000,0.000000,0.000000
-0.000364,-0.009810,-1.714706,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
-0.002472,-0.010279,-1.716857,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
